Country,Prev_Year,Prev_Year_Production,Year,Production,YOY,YOY_Perc
Democratic People's Republic of Korea,2011,1756000.0,2012,1520000.0,-236000.0,-13.0
Democratic People's Republic of Korea,2013,1804000.0,2014,1575000.0,-229000.0,-13.0
Armenia,2014,696147.0,2015,607719.0,-88428.0,-13.0
Australia,2021,1267638.64,2022,1108929.67,-158708.96999999997,-13.0
Austria,2020,885890.0,2021,769690.0,-116200.0,-13.0
Austria,2022,686220.0,2023,594040.0,-92180.0,-13.0
Belarus,2017,5009400.0,2018,4347600.0,-661800.0,-13.0
Belgium,2002,2909000.0,2003,2522095.0,-386905.0,-13.0
South Africa,2015,2486647.0,2016,2150811.0,-335836.0,-14.0
Spain,2009,2719291.0,2010,2326654.0,-392637.0,-14.0
Switzerland,2000,600600.0,2001,517900.0,-82700.0,-14.0
Denmark,2005,1576400.0,2006,1361200.0,-215200.0,-14.0
Denmark,2020,2762900.0,2021,2374600.0,-388300.0,-14.0
France,2011,7440219.0,2012,6376057.6,-1064161.4000000004,-14.0
Germany,2005,11624200.0,2006,10030600.0,-1593600.0,-14.0
Netherlands (Kingdom of the),2000,8227000.0,2001,7115000.0,-1112000.0,-14.0
Hungary,2005,656721.0,2006,564443.0,-92278.0,-14.0
Ireland,2007,399000.0,2008,344900.0,-54100.0,-14.0
Italy,2012,1486292.0,2013,1272211.0,-214081.0,-14.0
Republic of Korea,2000,704623.0,2001,603627.0,-100996.0,-14.0
Venezuela (Bolivarian Republic of),2015,523800.0,2016,452673.23,-71126.77000000002,-14.0
Zimbabwe,2018,476904.0,2019,408158.0,-68746.0,-14.0
Austria,2005,763165.0,2006,654621.0,-108544.0,-14.0
Belarus,2012,6910669.0,2013,5911160.0,-999509.0,-14.0
Belgium,2004,3229622.0,2005,2780865.0,-448757.0,-14.0
Serbia,2021,613785.0,2022,523762.0,-90023.0,-15.0
Sweden,2017,852500.0,2018,723000.0,-129500.0,-15.0
Greece,2015,580646.01,2016,491973.22,-88672.79000000004,-15.0
Greece,2020,450640.0,2021,381740.0,-68900.0,-15.0
Lithuania,2014,468500.0,2015,399191.0,-69309.0,-15.0
Indonesia,2000,977349.0,2001,831140.0,-146209.0,-15.0
Ireland,2010,419600.0,2011,356100.0,-63500.0,-15.0
Latvia,2003,739000.0,2004,628400.0,-110600.0,-15.0
Poland,2021,7081460.0,2022,6030930.0,-1050530.0,-15.0
Portugal,2007,621490.0,2008,528081.0,-93409.0,-15.0
Türkiye,2004,4770000.0,2005,4060000.0,-710000.0,-15.0
United Kingdom of Great Britain and Northern Ireland,2002,6966000.0,2003,5918000.0,-1048000.0,-15.0
United Republic of Tanzania,2014,1738017.0,2015,1480716.0,-257301.0,-15.0
United States of America,2000,23293964.0,2001,19852512.0,-3441452.0,-15.0
Canada,2004,5246863.64,2005,4443363.64,-803500.0,-15.0
Czechia,2017,688969.98,2018,583560.0,-105409.97999999998,-15.0
Austria,2016,767261.12,2017,653400.0,-113861.12,-15.0
Belarus,2019,4354700.0,2020,3707899.0,-646801.0,-15.0
Denmark,2009,1617700.0,2010,1357800.0,-259900.0,-16.0
Hungary,2004,783686.0,2005,656721.0,-126965.0,-16.0
Kyrgyzstan,2004,1362530.0,2005,1141456.0,-221074.0,-16.0
Latvia,2005,658200.0,2006,550900.0,-107300.0,-16.0
Portugal,2017,515030.0,2018,431690.0,-83340.0,-16.0
Republic of Korea,2016,555670.0,2017,466755.0,-88915.0,-16.0
Chile,2002,1303268.0,2003,1093728.0,-209540.0,-16.0
Colombia,2007,2823362.0,2008,2372862.0,-450500.0,-16.0
Colombia,2019,3123803.8,2020,2625272.0,-498531.7999999998,-16.0
Argentina,2021,2871705.88,2022,2410599.03,-461106.8500000001,-16.0
Australia,2008,1409195.0,2009,1178534.0,-230661.0,-16.0
Belgium,2014,4380556.0,2015,3689994.0,-690562.0,-16.0
Serbia,2017,589241.0,2018,487909.0,-101332.0,-17.0
Denmark,2017,2171000.0,2018,1806800.0,-364200.0,-17.0
Egypt,2015,4955445.0,2016,4113441.0,-842004.0,-17.0
Hungary,2001,908359.0,2002,752244.0,-156115.0,-17.0
Indonesia,2022,1503998.26,2023,1248513.44,-255484.82000000007,-17.0
Latvia,2016,491600.0,2017,408300.0,-83300.0,-17.0
Lebanon,2008,514600.0,2009,425000.0,-89600.0,-17.0
Norway,2008,398400.0,2009,332500.0,-65900.0,-17.0
Chile,2017,1426478.8,2018,1183356.6,-243122.19999999995,-17.0
Democratic People's Republic of Korea,2001,2268000.0,2002,1884000.0,-384000.0,-17.0
Armenia,2020,437226.0,2021,364556.6,-72669.40000000002,-17.0
Azerbaijan,2013,992780.0,2014,819319.0,-173461.0,-17.0
Belarus,2004,9902165.0,2005,8184953.0,-1717212.0,-17.0
Serbia,2016,714350.0,2017,589241.0,-125109.0,-18.0
Sweden,2005,947300.0,2006,777800.0,-169500.0,-18.0
Netherlands (Kingdom of the),2017,7391881.0,2018,6025370.0,-1366511.0,-18.0
Hungary,2008,683935.0,2009,560615.0,-123320.0,-18.0
Iran (Islamic Republic of),2016,4995327.0,2017,4117462.0,-877865.0,-18.0
Latvia,2000,747100.0,2001,615300.0,-131800.0,-18.0
Peru,2000,3274860.0,2001,2690544.0,-584316.0,-18.0
Poland,2014,7689180.0,2015,6313669.0,-1375511.0,-18.0
Portugal,2009,467807.0,2010,383835.0,-83972.0,-18.0
Romania,2009,4003980.0,2010,3283866.0,-720114.0,-18.0
Türkiye,2012,4795122.0,2013,3948000.0,-847122.0,-18.0
Chile,2022,1024511.41,2023,843118.74,-181392.67000000004,-18.0
Colombia,2009,2272772.0,2010,1867899.0,-404873.0,-18.0
Czechia,2011,805331.0,2012,661795.0,-143536.0,-18.0
Angola,2007,491216.0,2008,402207.0,-89009.0,-18.0
Austria,2002,684321.0,2003,560340.0,-123981.0,-18.0
Austria,2011,816070.0,2012,665416.0,-150654.0,-18.0
Slovakia,2002,484269.0,2003,392426.0,-91843.0,-19.0
Switzerland,2005,484700.0,2006,391500.0,-93200.0,-19.0
Switzerland,2009,521500.0,2010,420800.0,-100700.0,-19.0
Iran (Islamic Republic of),2021,3214971.35,2022,2599088.74,-615882.6099999999,-19.0
Republic of Korea,2013,727438.0,2014,590532.0,-136906.0,-19.0
United Kingdom of Great Britain and Northern Ireland,2017,6218000.0,2018,5060000.0,-1158000.0,-19.0
Colombia,2017,3706563.0,2018,3018999.07,-687563.9300000002,-19.0
Czechia,2012,661795.0,2013,536450.0,-125345.0,-19.0
Armenia,2009,593551.0,2010,481956.0,-111595.0,-19.0
Belarus,2008,8748630.0,2009,7124981.0,-1623649.0,-19.0
Serbia,2006,930305.0,2007,743282.0,-187023.0,-20.0
Switzerland,2012,447000.0,2013,359800.0,-87200.0,-20.0
Morocco,2008,1536560.0,2009,1234470.0,-302090.0,-20.0
Hungary,2014,567430.0,2015,452008.0,-115422.0,-20.0
Poland,2000,24232376.0,2001,19378860.0,-4853516.0,-20.0
Poland,2001,19378860.0,2002,15522842.0,-3856018.0,-20.0
Poland,2012,9091900.0,2013,7290427.0,-1801473.0,-20.0
